ExID,ExpName,ReferenceTag,Location,ClimateName,MethodName,MTFName,SPName,SMName,DatasetAddedBy,DatasetCheckedBy,LocID_x,Latitude,Longitude,Precipitation,LocComments,RefID,ReferenceYear,ReferenceName,DOI,ReferenceTitle,RefComments,MTFID_x,Month1,Month2,Season,YearExp,Reps,SE,SD,Method,Direction,Tmin,Tmax,UpperD_m,Diameter,Diameter2,Diameter3,Comment,SSPID_x,TextureClass,SoilTextureUSDA,SoilTextureFAO,SoilType,SoilTypeClass,SoilTypeWRB,ClayContent,SiltContent,SandContent,BulkDensity,SoilOrganicCarbon,Comments_x,LocID_y,AnnualMeanTemperature,MeanTemperatureofWarmestQuarter,MeanTemperatureofColdestQuarter,AnnualPrecipitation,PrecipitationofWettestMonth,PrecipitationofDriestMonth,PrecipitationSeasonality,PrecipitationofWettestQuarter,PrecipitationofDriestQuarter,PrecipitationofWarmestQuarter,PrecipitationofColdestQuarter,MeanDiurnalRange,TemperatureSeasonality,MaxTemperatureofWarmestMonth,MinTemperatureofColdestMonth,TemperatureAnnualRange,MeanTemperatureofWettestQuarter,MeanTemperatureofDriestQuarter,Isothermality,Elevation,AverageAridityIndex,AverageAnnualEvapoTranspiration,AridityClass,MTFID_y,Ks,Kunsat,slope,R2,Hmin,intercept,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,SSPID_y,Landuse,LanduseClass,Tillage,TillageClass,NbOfCropRotation,CurrentCrop,CropClass,CropRotation,CoverCrop,CoverCropClass,Residue,ResidueClass,Grazing,GrazingClass,Irrigation,IrrigationClass,Compaction,CompactionClass,OtherAmendments,AmendmentClass,SamplingTime,SamplingTimeClass,Comments_y
124,ZhoJoaOctUrb,Zhou_2008_C,Zhou_2008_C_Joa,Zhou_2008_C_Joa,ZhoJoaOctUrb,ZhoJoaOctUrb,ZhoJoaOctUrb,ZhoJoaOctUrb,Nick,Helena,142,40.0,-76.0,,,122,2008,Zhou et al. 2008. Catena. 73:180-188,10.1016/j.catena.2007.09.009,Surface soil hydraulic properties in four soil series under different land uses and their temporal changes,land use effects on near-sat.K on 3 soil types,124,10.0,10.0,autumn,2005.0,5.0,,,Steady-state piecewise,Dry to wet,0.0,120.0,0.0,23.2,,,,124,"medium (sandy loam, loam, sandy clay loam, sandy clay)",sandy loam,medium,Ultic Hapludalf,Nitisols,,0.092,0.23,0.678,1.78,0.005,,142,11.025,22.05,-0.4,1146.0,114.0,71.0,12.61837,332.0,247.0,321.0,249.0,10.58333,910.9972,28.8,-6.1,34.9,19.81667,0.55,30.32474,185.0,0.922,1242.0,Humid,124,66.8793,1.1,1.46,0.97,6.0,2.961393,31.72435,11.53158,6.379632,4.191651,3.026192,2.318953,1.85161,1.523636,1.282917,1.1,124,grassland,grassland,No-Till,no tillage,0.0,unknown,unknown,unknown,unknown,unknown,natural,natural,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,October,consolidated,
125,MorCT,Moret_2007_SSSoAJ,Moret_2007_SSSoAJ,Moret_2007_SSSoAJ,MorCT,MorCT,MorCT,MorCT,Nick,Helena,95,41.73333,-0.06667,390.0,,83,2007,Moret & Arrúe. 2007. Soil Sci Soc Am J. 71:500-506,10.2136/sssaj2006.0128,Characterizing Soil Water-Conducting Macro and Mesoporosity as Influenced by Tillage Using Tension Infiltrometry,effects of tillage system: NT < RT and CT,125,1.0,2.0,winter,2000.0,6.0,,,Steady-state piecewise,Dry to wet,0.0,140.0,0.01,12.5,,,,125,"medium (sandy loam, loam, sandy clay loam, sandy clay)",loam,medium,Xerollic Calciorthid,Solonchaks,,0.245,0.473,0.282,1.22,0.011,"Texture and OC from Lopez et al., 1996",95,15.23333,23.78333,7.183333,410.0,51.0,14.0,30.74232,129.0,78.0,78.0,85.0,11.25,678.4954,32.0,2.1,29.9,16.0,8.566667,37.62542,261.0,0.2573,1592.0,Semi-Arid,125,84.3065,12.1,0.69,0.99,6.0,2.462785,59.26324,36.73455,27.76973,22.77005,19.52073,17.21318,15.47632,14.1141,13.01242,12.1,125,arable/ Experimental Farm (Dryland),arable,Conventional tillage,conventional tillage,2.0,fallow,fallow,"Winter Barley, Fallow",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fall,consolidated,"Texture and OC from Lopez et al., 1996"
126,MorRT,Moret_2007_SSSoAJ,Moret_2007_SSSoAJ,Moret_2007_SSSoAJ,MorRT,MorRT,MorRT,MorRT,Nick,Helena,95,41.73333,-0.06667,390.0,,83,2007,Moret & Arrúe. 2007. Soil Sci Soc Am J. 71:500-506,10.2136/sssaj2006.0128,Characterizing Soil Water-Conducting Macro and Mesoporosity as Influenced by Tillage Using Tension Infiltrometry,effects of tillage system: NT < RT and CT,126,1.0,2.0,winter,2000.0,6.0,,,Steady-state piecewise,Dry to wet,0.0,140.0,0.01,12.5,,,,126,"medium (sandy loam, loam, sandy clay loam, sandy clay)",loam,medium,Xerollic Calciorthid,Solonchaks,,0.245,0.473,0.282,1.14,0.011,"Texture and OC from Lopez et al., 1996",95,15.23333,23.78333,7.183333,410.0,51.0,14.0,30.74232,129.0,78.0,78.0,85.0,11.25,678.4954,32.0,2.1,29.9,16.0,8.566667,37.62542,261.0,0.2573,1592.0,Semi-Arid,126,78.5355,9.0,0.77,1.0,6.0,2.494243,52.99593,31.07774,22.7436,18.22453,15.34743,13.33724,11.84451,10.68718,9.760583,9.0,126,arable/ Experimental Farm (Dryland),arable,Reduced tillage,reduced tillage,2.0,fallow,fallow,"Winter Barley, Fallow",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fall,consolidated,"Texture and OC from Lopez et al., 1996"
127,MorNT,Moret_2007_SSSoAJ,Moret_2007_SSSoAJ,Moret_2007_SSSoAJ,MorNT,MorNT,MorNT,MorNT,Nick,Helena,95,41.73333,-0.06667,390.0,,83,2007,Moret & Arrúe. 2007. Soil Sci Soc Am J. 71:500-506,10.2136/sssaj2006.0128,Characterizing Soil Water-Conducting Macro and Mesoporosity as Influenced by Tillage Using Tension Infiltrometry,effects of tillage system: NT < RT and CT,127,1.0,2.0,winter,2000.0,6.0,,,Steady-state piecewise,Dry to wet,0.0,140.0,0.01,12.5,,,,127,"medium (sandy loam, loam, sandy clay loam, sandy clay)",loam,medium,Xerollic Calciorthid,Solonchaks,,0.245,0.473,0.282,1.3,0.011,"Texture and OC from Lopez et al., 1996",95,15.23333,23.78333,7.183333,410.0,51.0,14.0,30.74232,129.0,78.0,78.0,85.0,11.25,678.4954,32.0,2.1,29.9,16.0,8.566667,37.62542,261.0,0.2573,1592.0,Semi-Arid,127,37.3149,3.5,0.79,1.0,5.0,2.124068,21.58083,12.48114,9.060293,7.218395,6.051761,5.239967,4.639173,4.174716,3.803789,3.5,127,arable/ Experimental Farm (Dryland),arable,No-Till,no tillage,2.0,fallow,fallow,"Winter Barley, Fallow",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,hebicide,consolidated,fall,consolidated,"Texture and OC from Lopez et al., 1996"
139,Tim,Timlin_1994_SSSoAJ,Timlin_1994_SSSoAJ,Timlin_1994_SSSoAJ,Tim,Tim,Tim,Tim,Nick,Helena,125,34.0,-96.4,,,110,1994,Timlin et al. 1994. Soil Sci Soc Am J. 58:278-284,10.2136/sssaj1994.03615995005800020003x,Comparison of Three Field Methods to Characterize Apparent Macropore Conductivity,unknown,139,7.0,7.0,summer,1989.0,48.0,,,Steady-state piecewise,Wet to dry,0.0,150.0,0.0,7.62,,,,139,"medium (sandy loam, loam, sandy clay loam, sandy clay)",sandy clay loam,medium,Albaquic Paleudalf,Luvisols,,,,,1.36,,,125,16.88333,27.15,6.066667,1060.0,141.0,45.0,32.86665,355.0,171.0,245.0,171.0,12.81667,852.3159,34.4,-1.7,36.1,21.1,6.066667,35.50323,209.0,0.6496,1631.0,Dry sub-humid,139,422.8174,18.2,1.05,0.99,5.0,3.360071,204.2074,98.62565,64.43088,47.63305,37.68364,31.11806,26.46784,23.00525,20.32903,18.2,139,grassland,grassland,No-till,no tillage,0.0,unknown,unknown,unknown,unknown,unknown,natural,natural,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,summer,consolidated,
140,GomC,Gomez_2001_SSSoAJ,Gomez_2001_SSSoAJ,Gomez_2001_SSSoAJ,GomC,GomC,GomC,GomC,Nick,Helena,50,37.8,-4.8,,,49,2001,Gómez et al. 2001. Soil Sci Soc Am J. 65:291-299,10.2136/sssaj2001.652291x,Analysis of Infiltration and Runoff in an Olive Orchard under No-Till,olive orchard,140,,,winter,1996.0,16.0,,,Steady-state piecewise,Dry to wet,0.0,147.0,0.0,25.0,,,,140,"fine (clay, silty clay, clay loam, silty clay loam)",silty clay loam,fine,Calcixerollic Xerochrept,Cambisols,,,,,,,below canopy,50,17.6125,26.23333,10.08333,543.0,89.0,3.0,63.46817,246.0,25.0,31.0,214.0,13.75833,658.6664,36.1,3.7,32.4,10.88333,25.91667,42.46399,147.0,0.306,1774.0,Semi-Arid,140,47.0,4.7,1.0,0.99,10.0,2.672098,47.0,23.5,15.66667,11.75,9.4,7.833333,6.714286,5.875,5.222222,4.7,140,Orchard,woodland/plantation,No-Till,no tillage,0.0,Olive,fruits/trees,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,hebicide,consolidated,winter,consolidated,below canopy
141,GomIR,Gomez_2001_SSSoAJ,Gomez_2001_SSSoAJ,Gomez_2001_SSSoAJ,GomIR,GomIR,GomIR,GomIR,Nick,Helena,50,37.8,-4.8,,,49,2001,Gómez et al. 2001. Soil Sci Soc Am J. 65:291-299,10.2136/sssaj2001.652291x,Analysis of Infiltration and Runoff in an Olive Orchard under No-Till,olive orchard,141,,,winter,1996.0,16.0,,,Steady-state piecewise,Dry to wet,0.0,147.0,0.0,25.0,,,,141,"fine (clay, silty clay, clay loam, silty clay loam)",silty clay loam,fine,Calcixerollic Xerochrept,Cambisols,,,,,,,,50,17.6125,26.23333,10.08333,543.0,89.0,3.0,63.46817,246.0,25.0,31.0,214.0,13.75833,658.6664,36.1,3.7,32.4,10.88333,25.91667,42.46399,147.0,0.306,1774.0,Semi-Arid,141,32.016,2.6,1.56,0.98,20.0,3.534973,32.016,32.016,17.00843,10.85825,7.6662,5.768427,4.53545,3.682587,3.064468,2.6,141,Orchard,woodland/plantation,No-Till,no tillage,0.0,Olive,fruits/trees,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,inter-row,unknown,hebicide,consolidated,winter,consolidated,
142,FueNPMay01-0,Fuentes_2004_SSSoAJ,Fuentes_2004_SSSoAJ,Fuentes_2004_SSSoAJ,FueNPMay01-0,FueNPMay01-0,FueNPMay01-0,FueNPMay01-0,Nick,Helena,45,46.5,-117.0,544.0,,46,2004,Fuentes et al. 2004. Soil Sci Soc Am J. 68:1679-1688,10.2136/sssaj2004.1679,"Hydraulic Properties in a Silt Loam Soil under Natural Prairie, Conventional Till, and No‐Till","effects of land use (natural grassland vs. cultivated, P and NT). Natural grass has higher K",142,5.0,5.0,spring,2001.0,8.0,,,1D column,Wet to dry,0.0,150.0,0.0,,,,,142,"medium-fine (silt loam, silt)",silt loam,medium,unknown,unknown,,0.123,0.715,0.162,0.75,0.0371,,45,8.458333,17.65,-0.4,565.0,66.0,24.0,29.69721,190.0,80.0,92.0,173.0,12.81667,739.5663,28.9,-5.1,34.0,0.016667,17.45,37.69608,845.0,0.4608,1226.0,Semi-Arid,142,363.388,12.6,0.73,0.98,,2.560371,67.66601,40.7961,30.34394,24.59613,20.89885,18.29448,16.34741,14.8291,13.60735,12.6,142,Grasland,grassland,No-till,no tillage,0.0,unknown,unknown,unknown,unknown,unknown,natural,natural,no,no,unknown,unknown,unknown,unknown,unknown,unknown,May,consolidated,
143,FueCTMay01-0,Fuentes_2004_SSSoAJ,Fuentes_2004_SSSoAJ,Fuentes_2004_SSSoAJ,FueCTMay01-0,FueCTMay01-0,FueCTMay01-0,FueCTMay01-0,Nick,Helena,45,46.5,-117.0,544.0,,46,2004,Fuentes et al. 2004. Soil Sci Soc Am J. 68:1679-1688,10.2136/sssaj2004.1679,"Hydraulic Properties in a Silt Loam Soil under Natural Prairie, Conventional Till, and No‐Till","effects of land use (natural grassland vs. cultivated, P and NT). Natural grass has higher K",143,5.0,5.0,spring,2001.0,8.0,,,1D column,Wet to dry,0.0,150.0,0.0,,,,,143,"medium-fine (silt loam, silt)",silt loam,medium,unknown,unknown,,0.137,0.704,0.159,1.1,0.0147,,45,8.458333,17.65,-0.4,565.0,66.0,24.0,29.69721,190.0,80.0,92.0,173.0,12.81667,739.5663,28.9,-5.1,34.0,0.016667,17.45,37.69608,845.0,0.4608,1226.0,Semi-Arid,143,20.8042,0.6,0.77,0.98,,1.318151,3.533062,2.071849,1.51624,1.214969,1.023162,0.889149,0.789634,0.712479,0.650706,0.6,143,Arable,arable,Conventional tillage,conventional tillage,3.0,spring wheat,cereals,"Winter Wheat, Spring Wheat, Spring Pea",unknown,unknown,yes,yes,unknown,unknown,unknown,unknown,inter-row,unknown,unknown,unknown,May,consolidated,
144,FueNTMay01-0,Fuentes_2004_SSSoAJ,Fuentes_2004_SSSoAJ,Fuentes_2004_SSSoAJ,FueNTMay01-0,FueNTMay01-0,FueNTMay01-0,FueNTMay01-0,Nick,Helena,45,46.5,-117.0,544.0,,46,2004,Fuentes et al. 2004. Soil Sci Soc Am J. 68:1679-1688,10.2136/sssaj2004.1679,"Hydraulic Properties in a Silt Loam Soil under Natural Prairie, Conventional Till, and No‐Till","effects of land use (natural grassland vs. cultivated, P and NT). Natural grass has higher K",144,5.0,5.0,spring,2001.0,8.0,,,1D column,Wet to dry,0.0,150.0,0.0,,,,,144,"medium-fine (silt loam, silt)",silt loam,medium,unknown,unknown,,0.131,0.736,0.133,1.1,0.0182,,45,8.458333,17.65,-0.4,565.0,66.0,24.0,29.69721,190.0,80.0,92.0,173.0,12.81667,739.5663,28.9,-5.1,34.0,0.016667,17.45,37.69608,845.0,0.4608,1226.0,Semi-Arid,144,30.5299,2.7,0.62,0.98,2.0,1.671364,11.25547,7.323609,5.695719,4.76526,4.149563,3.706039,3.36824,3.100616,2.882262,2.7,144,Arable,arable,No-till,no tillage,3.0,winter wheat,cereals,"Winter Wheat, Spring Wheat, Lentli / Winter Wheat, Spring Barley, Spring Peas",unknown,unknown,yes,yes,unknown,unknown,unknown,unknown,inter-row,unknown,unknown,unknown,May,consolidated,
145,FueNPMay01-5,Fuentes_2004_SSSoAJ,Fuentes_2004_SSSoAJ,Fuentes_2004_SSSoAJ,FueNPMay01-5,FueNPMay01-5,FueNPMay01-5,FueNPMay01-5,Nick,Helena,45,46.5,-117.0,544.0,,46,2004,Fuentes et al. 2004. Soil Sci Soc Am J. 68:1679-1688,10.2136/sssaj2004.1679,"Hydraulic Properties in a Silt Loam Soil under Natural Prairie, Conventional Till, and No‐Till","effects of land use (natural grassland vs. cultivated, P and NT). Natural grass has higher K",145,5.0,5.0,spring,2001.0,8.0,,,1D column,Wet to dry,0.0,150.0,0.05,,,,,145,"medium-fine (silt loam, silt)",silt loam,medium,unknown,unknown,,0.123,0.714,0.163,0.9,0.0319,,45,8.458333,17.65,-0.4,565.0,66.0,24.0,29.69721,190.0,80.0,92.0,173.0,12.81667,739.5663,28.9,-5.1,34.0,0.016667,17.45,37.69608,845.0,0.4608,1226.0,Semi-Arid,145,183.7631,16.9,0.61,0.91,2.0,2.447887,68.84727,45.1085,35.22433,29.55494,25.79378,23.07886,21.00762,19.3643,18.02183,16.9,145,Grasland,grassland,No-till,no tillage,0.0,unknown,unknown,unknown,unknown,unknown,natural,natural,no,no,unknown,unknown,unknown,unknown,unknown,unknown,May,consolidated,
146,FueCTMay01-5,Fuentes_2004_SSSoAJ,Fuentes_2004_SSSoAJ,Fuentes_2004_SSSoAJ,FueCTMay01-5,FueCTMay01-5,FueCTMay01-5,FueCTMay01-5,Nick,Helena,45,46.5,-117.0,544.0,,46,2004,Fuentes et al. 2004. Soil Sci Soc Am J. 68:1679-1688,10.2136/sssaj2004.1679,"Hydraulic Properties in a Silt Loam Soil under Natural Prairie, Conventional Till, and No‐Till","effects of land use (natural grassland vs. cultivated, P and NT). Natural grass has higher K",146,5.0,5.0,spring,2001.0,8.0,,,1D column,Wet to dry,0.0,150.0,0.05,,,,,146,"medium-fine (silt loam, silt)",silt loam,medium,unknown,unknown,,0.135,0.705,0.16,1.25,0.0143,,45,8.458333,17.65,-0.4,565.0,66.0,24.0,29.69721,190.0,80.0,92.0,173.0,12.81667,739.5663,28.9,-5.1,34.0,0.016667,17.45,37.69608,845.0,0.4608,1226.0,Semi-Arid,146,15.9243,0.4,0.8,0.99,,1.20206,2.523829,1.449559,1.048004,0.832553,0.69644,0.60192,0.532086,0.478176,0.435177,0.4,146,Arable,arable,Conventional tillage,conventional tillage,3.0,spring wheat,cereals,"Winter Wheat, Spring Wheat, Spring Pea",unknown,unknown,yes,yes,unknown,unknown,unknown,unknown,inter-row,unknown,unknown,unknown,May,consolidated,
147,FueNTMay01-5,Fuentes_2004_SSSoAJ,Fuentes_2004_SSSoAJ,Fuentes_2004_SSSoAJ,FueNTMay01-5,FueNTMay01-5,FueNTMay01-5,FueNTMay01-5,Nick,Helena,45,46.5,-117.0,544.0,,46,2004,Fuentes et al. 2004. Soil Sci Soc Am J. 68:1679-1688,10.2136/sssaj2004.1679,"Hydraulic Properties in a Silt Loam Soil under Natural Prairie, Conventional Till, and No‐Till","effects of land use (natural grassland vs. cultivated, P and NT). Natural grass has higher K",147,5.0,5.0,spring,2001.0,8.0,,,1D column,Wet to dry,0.0,150.0,0.05,,,,,147,"medium-fine (silt loam, silt)",silt loam,medium,unknown,unknown,,0.132,0.74,0.128,1.25,0.0134,,45,8.458333,17.65,-0.4,565.0,66.0,24.0,29.69721,190.0,80.0,92.0,173.0,12.81667,739.5663,28.9,-5.1,34.0,0.016667,17.45,37.69608,845.0,0.4608,1226.0,Semi-Arid,147,30.3542,2.1,0.58,0.93,,1.482219,7.983977,5.340992,4.221716,3.57293,3.139183,2.824175,2.582631,2.390161,2.232331,2.1,147,Arable,arable,No-till,no tillage,3.0,winter wheat,cereals,"Winter Wheat, Spring Wheat, Lentli / Winter Wheat, Spring Barley, Spring Peas",unknown,unknown,yes,yes,unknown,unknown,unknown,unknown,inter-row,unknown,unknown,unknown,May,consolidated,
148,FueNPNov01-0,Fuentes_2004_SSSoAJ,Fuentes_2004_SSSoAJ,Fuentes_2004_SSSoAJ,FueNPNov01-0,FueNPNov01-0,FueNPNov01-0,FueNPNov01-0,Nick,Helena,45,46.5,-117.0,544.0,,46,2004,Fuentes et al. 2004. Soil Sci Soc Am J. 68:1679-1688,10.2136/sssaj2004.1679,"Hydraulic Properties in a Silt Loam Soil under Natural Prairie, Conventional Till, and No‐Till","effects of land use (natural grassland vs. cultivated, P and NT). Natural grass has higher K",148,11.0,12.0,autumn,2001.0,8.0,,,1D column,Wet to dry,0.0,150.0,0.0,,,,,148,"medium-fine (silt loam, silt)",silt loam,medium,unknown,unknown,,0.123,0.715,0.162,0.75,0.0371,,45,8.458333,17.65,-0.4,565.0,66.0,24.0,29.69721,190.0,80.0,92.0,173.0,12.81667,739.5663,28.9,-5.1,34.0,0.016667,17.45,37.69608,845.0,0.4608,1226.0,Semi-Arid,148,501.3561,20.9,0.69,0.92,,2.700146,102.3638,63.45058,47.9659,39.33009,33.71763,29.73185,26.73183,24.37891,22.476,20.9,148,Grasland,grassland,No-till,no tillage,0.0,unknown,unknown,unknown,unknown,unknown,natural,natural,no,no,unknown,unknown,unknown,unknown,unknown,unknown,November,consolidated,
149,FueCTNov01-0,Fuentes_2004_SSSoAJ,Fuentes_2004_SSSoAJ,Fuentes_2004_SSSoAJ,FueCTNov01-0,FueCTNov01-0,FueCTNov01-0,FueCTNov01-0,Nick,Helena,45,46.5,-117.0,544.0,,46,2004,Fuentes et al. 2004. Soil Sci Soc Am J. 68:1679-1688,10.2136/sssaj2004.1679,"Hydraulic Properties in a Silt Loam Soil under Natural Prairie, Conventional Till, and No‐Till","effects of land use (natural grassland vs. cultivated, P and NT). Natural grass has higher K",149,11.0,12.0,autumn,2001.0,8.0,,,1D column,Wet to dry,0.0,150.0,0.0,,,,,149,"medium-fine (silt loam, silt)",silt loam,medium,unknown,unknown,,0.137,0.704,0.159,1.1,0.0147,,45,8.458333,17.65,-0.4,565.0,66.0,24.0,29.69721,190.0,80.0,92.0,173.0,12.81667,739.5663,28.9,-5.1,34.0,0.016667,17.45,37.69608,845.0,0.4608,1226.0,Semi-Arid,149,19.5598,2.7,0.43,0.93,,1.291364,7.267144,5.394123,4.531079,4.003852,3.637531,3.363247,3.147543,2.971906,2.825137,2.7,149,Arable,arable,Conventional tillage,conventional tillage,3.0,spring wheat,cereals,"Winter Wheat, Spring Wheat, Spring Pea",unknown,unknown,yes,yes,unknown,unknown,unknown,unknown,inter-row,unknown,unknown,unknown,November,consolidated,
150,FueNTNov01-0,Fuentes_2004_SSSoAJ,Fuentes_2004_SSSoAJ,Fuentes_2004_SSSoAJ,FueNTNov01-0,FueNTNov01-0,FueNTNov01-0,FueNTNov01-0,Nick,Helena,45,46.5,-117.0,544.0,,46,2004,Fuentes et al. 2004. Soil Sci Soc Am J. 68:1679-1688,10.2136/sssaj2004.1679,"Hydraulic Properties in a Silt Loam Soil under Natural Prairie, Conventional Till, and No‐Till","effects of land use (natural grassland vs. cultivated, P and NT). Natural grass has higher K",150,11.0,12.0,autumn,2001.0,8.0,,,1D column,Wet to dry,0.0,150.0,0.0,,,,,150,"medium-fine (silt loam, silt)",silt loam,medium,unknown,unknown,,0.131,0.736,0.133,1.1,0.0182,,45,8.458333,17.65,-0.4,565.0,66.0,24.0,29.69721,190.0,80.0,92.0,173.0,12.81667,739.5663,28.9,-5.1,34.0,0.016667,17.45,37.69608,845.0,0.4608,1226.0,Semi-Arid,150,45.8174,2.0,0.68,0.93,,1.66103,9.572602,5.974886,4.535107,3.729316,3.20428,2.830656,2.548962,2.32771,2.148548,2.0,150,Arable,arable,No-till,no tillage,3.0,winter wheat,cereals,"Winter Wheat, Spring Wheat, Lentli / Winter Wheat, Spring Barley, Spring Peas",unknown,unknown,yes,yes,unknown,unknown,unknown,unknown,inter-row,unknown,unknown,unknown,November,consolidated,
151,FueNPNov01-5,Fuentes_2004_SSSoAJ,Fuentes_2004_SSSoAJ,Fuentes_2004_SSSoAJ,FueNPNov01-5,FueNPNov01-5,FueNPNov01-5,FueNPNov01-5,Nick,Helena,45,46.5,-117.0,544.0,,46,2004,Fuentes et al. 2004. Soil Sci Soc Am J. 68:1679-1688,10.2136/sssaj2004.1679,"Hydraulic Properties in a Silt Loam Soil under Natural Prairie, Conventional Till, and No‐Till","effects of land use (natural grassland vs. cultivated, P and NT). Natural grass has higher K",151,11.0,12.0,autumn,2001.0,8.0,,,1D column,Wet to dry,0.0,150.0,0.05,,,,,151,"medium-fine (silt loam, silt)",silt loam,medium,unknown,unknown,,0.123,0.714,0.163,0.9,0.0319,,45,8.458333,17.65,-0.4,565.0,66.0,24.0,29.69721,190.0,80.0,92.0,173.0,12.81667,739.5663,28.9,-5.1,34.0,0.016667,17.45,37.69608,845.0,0.4608,1226.0,Semi-Arid,151,174.3283,14.5,0.54,0.93,,2.241368,50.27684,34.57895,27.77938,23.7824,21.0826,19.10585,17.57985,16.35684,15.34889,14.5,151,Grasland,grassland,No-till,no tillage,0.0,unknown,unknown,unknown,unknown,unknown,natural,natural,no,no,unknown,unknown,unknown,unknown,unknown,unknown,November,consolidated,
152,FueCTNov01-5,Fuentes_2004_SSSoAJ,Fuentes_2004_SSSoAJ,Fuentes_2004_SSSoAJ,FueCTNov01-5,FueCTNov01-5,FueCTNov01-5,FueCTNov01-5,Nick,Helena,45,46.5,-117.0,544.0,,46,2004,Fuentes et al. 2004. Soil Sci Soc Am J. 68:1679-1688,10.2136/sssaj2004.1679,"Hydraulic Properties in a Silt Loam Soil under Natural Prairie, Conventional Till, and No‐Till","effects of land use (natural grassland vs. cultivated, P and NT). Natural grass has higher K",152,11.0,12.0,autumn,2001.0,8.0,,,1D column,Wet to dry,0.0,150.0,0.05,,,,,152,"medium-fine (silt loam, silt)",silt loam,medium,unknown,unknown,,0.135,0.705,0.16,1.25,0.0143,,45,8.458333,17.65,-0.4,565.0,66.0,24.0,29.69721,190.0,80.0,92.0,173.0,12.81667,739.5663,28.9,-5.1,34.0,0.016667,17.45,37.69608,845.0,0.4608,1226.0,Semi-Arid,152,56.5449,5.4,0.51,0.94,,1.752394,17.47406,12.27068,9.978423,8.616743,7.689871,7.007073,6.477296,6.050871,5.6981,5.4,152,Arable,arable,Conventional tillage,conventional tillage,3.0,spring wheat,cereals,"Winter Wheat, Spring Wheat, Spring Pea",unknown,unknown,yes,yes,unknown,unknown,unknown,unknown,inter-row,unknown,unknown,unknown,November,consolidated,
154,FueNPApr02-0,Fuentes_2004_SSSoAJ,Fuentes_2004_SSSoAJ,Fuentes_2004_SSSoAJ,FueNPApr02-0,FueNPApr02-0,FueNPApr02-0,FueNPApr02-0,Nick,Helena,45,46.5,-117.0,544.0,,46,2004,Fuentes et al. 2004. Soil Sci Soc Am J. 68:1679-1688,10.2136/sssaj2004.1679,"Hydraulic Properties in a Silt Loam Soil under Natural Prairie, Conventional Till, and No‐Till","effects of land use (natural grassland vs. cultivated, P and NT). Natural grass has higher K",154,4.0,4.0,spring,2002.0,8.0,,,1D column,Wet to dry,0.0,150.0,0.0,,,,,154,"medium-fine (silt loam, silt)",silt loam,medium,unknown,unknown,,0.123,0.715,0.162,0.75,0.0371,,45,8.458333,17.65,-0.4,565.0,66.0,24.0,29.69721,190.0,80.0,92.0,173.0,12.81667,739.5663,28.9,-5.1,34.0,0.016667,17.45,37.69608,845.0,0.4608,1226.0,Semi-Arid,154,1383.673,19.1,0.93,0.91,,3.141033,162.5674,85.32484,58.52085,44.78345,36.39077,30.71515,26.6129,23.50497,21.06628,19.1,154,Grasland,grassland,No-till,no tillage,0.0,unknown,unknown,unknown,unknown,unknown,natural,natural,no,no,unknown,unknown,unknown,unknown,unknown,unknown,April,consolidated,
155,FueCTApr02-0,Fuentes_2004_SSSoAJ,Fuentes_2004_SSSoAJ,Fuentes_2004_SSSoAJ,FueCTApr02-0,FueCTApr02-0,FueCTApr02-0,FueCTApr02-0,Nick,Helena,45,46.5,-117.0,544.0,,46,2004,Fuentes et al. 2004. Soil Sci Soc Am J. 68:1679-1688,10.2136/sssaj2004.1679,"Hydraulic Properties in a Silt Loam Soil under Natural Prairie, Conventional Till, and No‐Till","effects of land use (natural grassland vs. cultivated, P and NT). Natural grass has higher K",155,4.0,4.0,spring,2002.0,8.0,,,1D column,Wet to dry,0.0,150.0,0.0,,,,,155,"medium-fine (silt loam, silt)",silt loam,medium,unknown,unknown,,0.137,0.704,0.159,1.1,0.0147,,45,8.458333,17.65,-0.4,565.0,66.0,24.0,29.69721,190.0,80.0,92.0,173.0,12.81667,739.5663,28.9,-5.1,34.0,0.016667,17.45,37.69608,845.0,0.4608,1226.0,Semi-Arid,155,31.7636,8.4,0.34,0.95,2.0,1.604279,18.3772,14.51875,12.64905,11.47041,10.63236,9.993276,9.483004,9.062097,8.706364,8.4,155,Arable,arable,Conventional tillage,conventional tillage,3.0,spring pea,legume,"Winter Wheat, Spring Wheat, Spring Pea",unknown,unknown,yes,yes,unknown,unknown,unknown,unknown,inter-row,unknown,unknown,unknown,April,consolidated,
